#NN 	 Count 	 V 	 A 	 C 	 G 	 T 	 B 	 L 	 L1 	 P 	 F 	 P1 	 F1 	 Ngal 	 Ngroup 
858 	 1384 	 1358.0790289929887 	 640.3223290833477 	 94.82190024879733 	 0.0 	 6.362790897533486 	 6.752894926206345 	 7.545687068981358 	 7.545687068981358 	 0.029743319100153907 	 0.055445508026028996 	 0.029743319100153907 	 0.055445508026028996 	 10 	 2
859 	 14469 	 14441.247107549623 	 2984.2172242713677 	 198.30158713217426 	 0.0 	 14.517623238109579 	 15.048882197207494 	 15.78033890752686 	 15.78033890752686 	 0.017968270219155775 	 0.023726084672539394 	 0.017968270219155775 	 0.023726084672539394 	 121 	 21
860 	 434 	 372.8717247558868 	 328.49286094911645 	 68.90258570294844 	 0.0 	 3.405295235444809 	 4.767496859483748 	 5.483093553218601 	 5.483093553218601 	 0.16667518373362541 	 0.06981029042464702 	 0.16667518373362541 	 0.06981029042464702 	 4 	 1
861 	 1275 	 1254.2084583743067 	 608.0057475036596 	 92.78032930682845 	 0.0 	 6.1884700770863565 	 6.55317514009849 	 7.383224015437795 	 7.383224015437795 	 0.028623074712537906 	 0.05955978054844717 	 0.028623074712537906 	 0.05955978054844717 	 40 	 7
862 	 868 	 850.0127977350915 	 451.1160137828133 	 76.51830333185957 	 0.0 	 5.652733033842095 	 5.895530796420367 	 6.089133106135248 	 6.089133106135248 	 0.021024611677299535 	 0.016154170971252425 	 0.021024611677299535 	 0.016154170971252425 	 22 	 5
863 	 2271 	 2251.3346450023214 	 855.3358457657436 	 105.7023348414646 	 0.0 	 7.896318116961893 	 8.09192954014309 	 8.411524543186882 	 8.411524543186882 	 0.012234700598615625 	 0.019365340214847097 	 0.012234700598615625 	 0.019365340214847097 	 14 	 4
864 	 776 	 757.574359743797 	 435.6267957321205 	 78.15983859084938 	 0.0 	 5.217133338668529 	 5.573537555681721 	 6.219762331499179 	 6.219762331499179 	 0.03302892104695705 	 0.054795924974306125 	 0.03302892104695705 	 0.054795924974306125 	 12 	 5
865 	 10978 	 10940.413995999585 	 2876.82899418729 	 225.95392525018303 	 0.0 	 11.408826195201367 	 12.731927498059516 	 17.98084205729163 	 17.98084205729163 	 0.0548077876801131 	 0.17090332898087934 	 0.0548077876801131 	 0.17090332898087934 	 175 	 40
866 	 1747 	 1734.0554213728803 	 703.2006079020703 	 94.34651791730805 	 0.0 	 7.3978409655230415 	 7.453381676665639 	 7.507857345023823 	 7.507857345023823 	 0.003739807319622312 	 0.0036411201157344002 	 0.003739807319622312 	 0.0036411201157344002 	 9 	 2
867 	 629 	 610.3114761142148 	 362.33088733249684 	 69.14841690962098 	 0.0 	 5.053211007822438 	 5.2399014109907105 	 5.50265617907269 	 5.50265617907269 	 0.018137410296525158 	 0.02445923755856996 	 0.018137410296525158 	 0.02445923755856996 	 9 	 2
868 	 5248 	 5041.386776902719 	 1809.4970084536515 	 181.01450335466242 	 0.0 	 8.358212398280154 	 9.996420037726462 	 14.404676490109498 	 14.404676490109498 	 0.08925308884053744 	 0.1806581293325996 	 0.08925308884053744 	 0.1806581293325996 	 17 	 3
869 	 598 	 576.3511231482518 	 338.36211287419593 	 65.52351084512809 	 0.0 	 5.110067893705413 	 5.16398020359366 	 5.214195319868774 	 5.214195319868774 	 0.0052474262703150025 	 0.004838530256266224 	 0.0052474262703150025 	 0.004838530256266224 	 37 	 8
